candidate,date,clock,five_ref,one_ref,difference,covered
C03,2026-06-29,09:30,69.3,69.30000305175781,-3.051757815342171e-06,True
C03,2026-07-02,09:30,67.46,67.45999908447266,9.155273374972239e-07,True
C03,2026-07-16,09:30,62.35,62.34999847412109,1.5258789147765128e-06,True
C03,2026-07-31,09:40,56.85,56.84999847412109,1.5258789147765128e-06,True
C03,2026-08-14,10:00,65.1,65.0999984741211,1.5258789005656581e-06,True
C03,2026-09-07,09:40,65.78,65.77999877929688,1.2207031261368684e-06,True
C04,2020-03-02,09:40,17.17,,,False
C04,2020-03-04,09:40,17.08,,,False
C04,2020-03-10,09:45,15.98,,,False
C04,2020-03-12,09:40,16.31,,,False
C04,2020-03-17,09:45,14.15,,,False
C04,2020-03-19,10:15,13.45,,,False
C04,2020-03-24,09:40,12.81,,,False
C04,2020-06-16,09:40,13.83,,,False
C04,2020-07-27,09:50,14.1,,,False
C04,2020-09-01,10:30,14.56,,,False
C04,2021-02-03,09:40,13.57,,,False
C04,2021-02-04,10:30,13.21,,,False
C04,2021-02-08,10:30,13.3,,,False
C04,2021-05-10,10:30,13.54,,,False
C04,2021-07-05,10:30,12.0,,,False
C04,2021-07-19,10:30,11.32,,,False
C04,2021-07-30,09:40,10.83,,,False
C04,2021-08-30,10:10,11.55,,,False
C04,2021-08-31,10:30,11.4,,,False
C04,2021-09-17,10:30,11.62,,,False
C04,2021-10-18,10:10,11.61,,,False
C04,2021-10-29,10:25,11.29,,,False
C04,2021-11-30,09:55,11.05,,,False
C04,2022-01-28,10:30,11.13,,,False
C04,2022-02-07,10:30,11.14,,,False
C04,2022-03-09,10:30,10.6,,,False
C04,2022-03-11,09:40,10.11,,,False
C04,2022-03-16,10:15,9.62,,,False
C04,2022-04-21,09:55,10.0,,,False
C04,2022-09-20,10:30,8.81,,,False
C04,2022-09-21,09:45,8.6,,,False
C04,2022-09-23,10:30,8.65,,,False
C04,2022-12-28,10:30,9.28,,,False
C04,2023-02-08,10:30,9.33,,,False
C04,2023-02-09,10:30,9.3,,,False
C04,2023-02-28,09:40,9.71,,,False
C04,2023-04-25,09:40,18.22,,,False
C04,2023-04-28,09:40,16.65,,,False
C04,2023-07-21,09:50,23.48,,,False
C04,2023-08-14,09:40,21.08,,,False
C04,2023-08-16,09:40,20.98,,,False
C04,2023-08-21,09:45,20.46,,,False
C04,2023-09-06,09:40,19.75,,,False
C04,2023-09-08,09:45,18.8,,,False
C04,2023-09-18,09:40,18.46,,,False
C04,2023-10-13,09:40,18.1,,,False
C04,2023-10-16,09:40,17.69,,,False
C04,2023-10-17,10:30,17.29,,,False
C04,2023-10-18,09:40,16.43,,,False
C04,2023-10-20,10:10,16.35,,,False
C04,2023-10-23,09:40,14.55,,,False
C04,2023-10-26,09:40,13.31,,,False
C04,2023-11-28,09:55,15.15,,,False
C04,2023-11-30,10:30,14.95,,,False
C04,2023-12-15,09:50,14.82,,,False
C04,2023-12-18,09:40,14.89,,,False
C04,2023-12-25,10:10,14.62,,,False
C04,2023-12-26,09:40,13.98,,,False
C04,2023-12-27,09:40,14.07,,,False
C04,2024-01-08,10:05,13.17,,,False
C04,2024-01-09,09:40,13.48,,,False
C04,2024-01-10,09:40,12.85,,,False
C04,2024-01-31,09:50,13.22,,,False
C04,2024-03-26,09:40,24.12,,,False
C04,2024-03-28,09:45,22.66,,,False
C04,2024-04-11,09:40,21.43,,,False
C04,2024-05-27,09:40,24.92,,,False
C04,2024-05-29,09:40,24.48,,,False
C04,2024-05-30,09:40,24.21,,,False
C04,2024-06-03,09:40,23.39,,,False
C04,2024-07-18,09:40,24.96,,,False
C04,2024-07-22,09:40,24.52,,,False
C04,2024-07-24,09:45,24.87,,,False
C04,2024-07-25,09:40,23.41,,,False
C04,2024-07-31,09:40,23.31,,,False
